Ayurvedic Medicine,Diseases Cured,Cautions and Precautions,Properties,Key Ingredients,Mode of Action
60. Lodhradi Ghrita,Skin disorders,Use cautiously in sensitive skin,Used in Ayurveda for various skin issues,"Lodhra (Symplocos racemosa), various herbs, ghee","Skin health, anti-inflammatory"
61. Punarnavadi Ghrita,Kidney and liver health,Avoid in kidney disorders,Supports kidney and urinary health in Ayurveda,"Punarnava (Boerhavia diffusa), various herbs, ghee","Kidney support, diuretic"
62. Kuberaksha Ghrita,Eye health,Use cautiously in cold climates,Ayurvedic ghee with therapeutic properties,"Kuberaksha (Caesalpinia bonduc), various herbs, ghee","Nervine tonic, stress relief"
63. Gugguluthikthaka Leham Ghrita,Skin disorders,Monitor cholesterol levels,Used in Ayurveda for joint and muscle health,"Guggulu (Commiphora wightii), various herbs, ghee","Joint health, anti-inflammatory"
64. Rajapravartini Vati Ghrita,Female reproductive,Avoid during pregnancy,Traditional Ayurvedic formulation,Various herbs and ghee,"Menstrual regulation, uterine tonic"
65. Brahmi Vati Ghrita,Memory and focus,Avoid in lactose intolerance,Supports cognitive health in Ayurveda,"Brahmi (Bacopa monnieri), various herbs, ghee","Cognitive support, memory enhancer"
66. Abhayangha Ghrita,Body massage oil,Check for allergies,Used in Ayurvedic self-massage,Various herbs and ghee,"Body massage oil, skin nourishment"
67. Narayan Ghrita,Musculoskeletal health,Avoid in open wounds,Promotes joint and muscle health in Ayurveda,Various herbs and ghee,Muscle and joint pain relief
68. Vataja Kasa Ghrita,Cough and cold,Use cautiously in Kapha imbalances,Supports respiratory health in Ayurveda,Various herbs and ghee,"Respiratory support, expectorant"
69. Vatajatila Ghrita,Neurological issues,Caution in diabetes,Ayurvedic ghee with therapeutic properties,Various herbs and ghee,"Digestive aid, carminative"
70. Vidaryadi Leham Ghrita,General health tonic,Check for dairy allergies,Supports muscle strength in Ayurveda,"Vidari (Pueraria tuberosa), various herbs, ghee","Strengthens the body, rejuvenating tonic"
71. Dhanvantaram Ghrita,Postpartum care,Avoid in lactose intolerance,Used in Ayurveda for various health issues,"Dhanvantaram (a specific herbal blend), ghee","Nourishing tonic, pain relief"
72. Amritaprasha Ghrita,Immunity support,Caution in diabetes,Herbal ghee with rejuvenating properties,"Amrita (Guduchi), various herbs, ghee","Immune system support, rejuvenation"
73. Vajikaran Ghrita,Sexual health,Use cautiously in high pitta,Ayurvedic ghee for vitality and sexual health,Various herbs and ghee,"Aphrodisiac, reproductive health support"
74. Sahacharadi Ghrita,Nervous system support,Avoid in high cholesterol,Supports joint and muscle health in Ayurveda,Various herbs and ghee,"Musculoskeletal health, anti-inflammatory"
75. Indukantham Ghrita,Digestive health,Use cautiously in diabetes,Ayurvedic herbal ghee used for digestive disorders,"Indukanta, ghee","Digestive support, liver health"
76. Karpooradi Ghrita,Respiratory issues,Avoid in sensitive skin,Used for treating epilepsy and neurological disorders,"Camphor, ghee","Skin care, anti-inflammatory"
77. Guduchyadi Leham Ghrita,Immunity,Caution in diabetes,Used for respiratory and immunity support,"Guduchi, leham, ghee","Immune system support, rejuvenation"
77. Guduchyadi Leham Ghrita,fever,Caution in diabetes,Used for respiratory and immunity support,"Guduchi, leham, ghee","Immune system support, rejuvenation"
78. Vyaghri Haritaki Leham Ghrita,Digestive health,Avoid in diarrhea,Used for digestive and respiratory issues,"Haritaki, vyaghri, leham, ghee","Digestive aid, detoxification"
79. Shatapushpa Ghrita,Digestive disorders,Use cautiously in high pitta,Used for improving digestion and appetite,"Shatapushpa, ghee","Digestive support, carminative"
80. Varanadi Ghrita,Obesity,Monitor cholesterol levels,Beneficial for obesity and certain metabolic disorders,"Varana, ghee","Weight management, metabolic support"
80. Varanadi Ghrita,diabetes,Monitor cholesterol levels,Beneficial for obesity and certain metabolic disorders,"Varana, ghee","Weight management, metabolic support"
81. Kanakasava Ghrita (different formulation),Respiratory issues,Avoid in chronic cough,Used for respiratory conditions,"Kanaka, asava, ghee","Liver health, digestive support"
82. Dhanwantaram 101 Ghrita,General health tonic,Avoid in lactose intolerance,Promotes overall health and well-being,"Dhanwantaram, 101 herbs, ghee","Nourishing tonic, pain relief"
83. Triphaladi Ghrita,Digestive health,Monitor cholesterol levels,Aids in digestive issues and detoxification,"Triphala, ghee","Digestive support, detoxification"
84. Arjunadi Ghrita,Heart health,Avoid in low blood pressure,Supports heart health and circulatory system,"Arjuna, ghee","Heart health, cardiac tonic"
85. Bala Ghrita,Musculoskeletal health,Caution in high pitta,Enhances strength and stamina,"Bala, ghee","Strength and vitality, muscle tone"
86. Vyaghri Ghrita,Digestive health,Use cautiously in diabetes,Used for various digestive and respiratory conditions,"Vyaghri, ghee","Digestive aid, carminative"
87. Pippalyadi Leham Ghrita (different formulation),Digestive health,Avoid in high pitta,Supports respiratory health and immunity,"Pippali, leham, ghee","Respiratory health, immunity"
88. Rajapravartini Vati Ghrita (different formulation),Female reproductive,Avoid during pregnancy,Used for gynecological issues and menstrual disorders,"Rajapravartini vati, ghee","Menstrual regulation, uterine tonic"
89. Brahmi Vati Ghrita (different formulation),Memory and focus,Avoid in lactose intolerance,Enhances cognitive function and brain health,"Brahmi vati, ghee","Cognitive support, memory enhancer"
90. Aswagandharishta Ghrita,Stress,Caution in hypothyroidism,Promotes vitality and overall well-being,"Ashwagandha, ashta, ghee","Adaptogenic, stress relief"
90. Aswagandharishta Ghrita,fatigue,Caution in hypothyroidism,Promotes vitality and overall well-being,"Ashwagandha, ashta, ghee","Adaptogenic, stress relief"
91. Tiktakam Ghrita,Skin disorders,Avoid in cases of diarrhea,Beneficial for skin conditions and detoxification,"Tiktaka, ghee","Skin care, anti-inflammatory"
92. Suryaprabha Ghrita,Eye disorders,Use cautiously in cold climates,Used for urinary tract and kidney-related issues,"Suryaprabha, ghee","Liver health, digestive support"
93. Manjishtadi Ghrita,Skin disorders,Use cautiously in sensitive skin,Supports skin health and inflammatory conditions,"Manjishta, ghee","Skin health, blood purifier"
94. Brihatyadi Ghrita,Neurological issues,Caution in diabetes,Used for joint and muscle pain,"Brihati, ghee",Supports weight management
95. Mrigamadasava Ghrita,Musculoskeletal issues,Avoid in pregnancy,Supports the nervous system and general well-being,"Mrigamada, asava, ghee","Digestive aid, carminative"
96. Chandraprabha Ghrita (different formulation),Urinary disorders,Avoid in kidney stones,Used for urinary and reproductive health,"Chandraprabha, ghee","Kidney support, diuretic"
97. Dadimadi Ghrita (different formulation),Digestive disorders,Use cautiously in diabetes,Aids digestion and alleviates stomach issues,"Dadima, ghee","Digestive aid, carminative"
98. Kalyanaka Ghrita (different formulation),Respiratory issues,Use cautiously in obesity,"Ayurvedic medicated ghee, used for various health issues","Bala (Sida cordifolia), Guduchi (Tinospora cordifolia), Nimba (Azadirachta indica), and more.","It is a traditional Ayurvedic medicated ghee used for various therapeutic purposes, including improving digestion and enhancing overall health."
99. Mahasudarshan Ghrita,Immunity,Caution in diabetes,"Ayurvedic medicated ghee, used for fever and infections","Guduchi (Tinospora cordifolia), Triphala (Amla, Haritaki, Bibhitaki), Chitraka (Plumbago zeylanica), and more.",Mahasudarshan Ghrita is primarily used to boost the immune system and support recovery from fever and infections.
99. Mahasudarshan Ghrita,fever,Caution in diabetes,"Ayurvedic medicated ghee, used for fever and infections","Guduchi (Tinospora cordifolia), Triphala (Amla, Haritaki, Bibhitaki), Chitraka (Plumbago zeylanica), and more.",Mahasudarshan Ghrita is primarily used to boost the immune system and support recovery from fever and infections.
100. Mahatriphala Ghrita,Digestive health,Monitor cholesterol levels,"Ayurvedic medicated ghee, used for digestive health","Triphala (Amla, Haritaki, Bibhitaki), Guduchi (Tinospora cordifolia), and more.",Mahatriphala Ghrita is a herbal ghee that promotes digestive health and helps in conditions related to the digestive system.
Triphala Churna,Constipation,Can cause diarrhea if taken in excess,"Laxative, Antioxidant","Amalaki (Emblica officinalis), Bibhitaki, Haritaki",Triphala Churna is a combination of three fruits and is commonly used as a natural laxative and for overall digestive support.
Triphala Churna,digestive disorders,Can cause diarrhea if taken in excess,"Laxative, Antioxidant","Amalaki (Emblica officinalis), Bibhitaki, Haritaki",Triphala Churna is a combination of three fruits and is commonly used as a natural laxative and for overall digestive support.
Ashwagandha Churna,Stress,Avoid during pregnancy,"Adaptogenic, Immune Support",Ashwagandha (Withania somnifera),"Ashwagandha Churna is an adaptogenic herb used to reduce stress, boost energy, and improve overall vitality."
Ashwagandha Churna,anxiety,Avoid during pregnancy,"Adaptogenic, Immune Support",Ashwagandha (Withania somnifera),"Ashwagandha Churna is an adaptogenic herb used to reduce stress, boost energy, and improve overall vitality."
Ashwagandha Churna,fatigue,Avoid during pregnancy,"Adaptogenic, Immune Support",Ashwagandha (Withania somnifera),"Ashwagandha Churna is an adaptogenic herb used to reduce stress, boost energy, and improve overall vitality."
Amla Churna,Immunity,High doses may cause acidity,"Antioxidant, Immune Boost",Amla (Emblica officinalis),"Amla Churna is rich in vitamin C and is used for its antioxidant properties, supporting the immune system and promoting healthy skin."
Amla Churna,hair problems,High doses may cause acidity,"Antioxidant, Immune Boost",Amla (Emblica officinalis),"Amla Churna is rich in vitamin C and is used for its antioxidant properties, supporting the immune system and promoting healthy skin."
Hingvastak Churna,Indigestion,Avoid in bleeding disorders,"Digestive, Carminative","Asafoetida (Hing), Ginger, Black Salt, Ajwain",Hingvastak Churna is a digestive aid used to alleviate digestive discomfort and improve appetite.
Hingvastak Churna,gas,Avoid in bleeding disorders,"Digestive, Carminative","Asafoetida (Hing), Ginger, Black Salt, Ajwain",Hingvastak Churna is a digestive aid used to alleviate digestive discomfort and improve appetite.
Sitopaladi Churna,Cough,Diabetic patients should use with caution,Respiratory Support,"Sugar, Bamboo Shoot, Piper longum, Cardamom, Cinnamon","Sitopaladi Churna is used for respiratory health and is often prescribed for conditions like cough, cold, and asthma."
Sitopaladi Churna,respiratory issues,Diabetic patients should use with caution,Respiratory Support,"Sugar, Bamboo Shoot, Piper longum, Cardamom, Cinnamon","Sitopaladi Churna is used for respiratory health and is often prescribed for conditions like cough, cold, and asthma."
Pippali Churna,Respiratory disorders,Can increase pitta (heat) if overused,"Digestive, Immune Support",Long Pepper (Pippali),Pippali Churna is a spice made from long pepper and is used to improve digestion and respiratory health.
Pippali Churna,fever,Can increase pitta (heat) if overused,"Digestive, Immune Support",Long Pepper (Pippali),Pippali Churna is a spice made from long pepper and is used to improve digestion and respiratory health.
Haritaki Churna,Digestive disorders,High doses may cause diarrhea,"Laxative, Digestive",Haritaki (Terminalia chebula),"Haritaki Churna is known for its laxative and detoxifying properties, helping with digestive issues and cleansing the body."
Haritaki Churna,detoxification,High doses may cause diarrhea,"Laxative, Digestive",Haritaki (Terminalia chebula),"Haritaki Churna is known for its laxative and detoxifying properties, helping with digestive issues and cleansing the body."
Guduchi Churna,Immunity,Not recommended for pregnant women,Immunomodulatory,Guduchi (Tinospora cordifolia),"Guduchi Churna, made from the herb Tinospora cordifolia, is used to boost the immune system and support overall health."
Guduchi Churna,fever,Not recommended for pregnant women,Immunomodulatory,Guduchi (Tinospora cordifolia),"Guduchi Churna, made from the herb Tinospora cordifolia, is used to boost the immune system and support overall health."
Chitrakadi Churna,Digestive problems,Avoid if you have ulcers,"Digestive, Carminative","Chitrak (Plumbago zeylanica), Ginger, Black Pepper",Chitrakadi Churna is a digestive aid used to stimulate digestion and alleviate digestive discomfort.
Chitrakadi Churna,obesity,Avoid if you have ulcers,"Digestive, Carminative","Chitrak (Plumbago zeylanica), Ginger, Black Pepper",Chitrakadi Churna is a digestive aid used to stimulate digestion and alleviate digestive discomfort.
Yashtimadhu Churna,Gastric ulcers,May increase blood pressure,"Demulcent, Anti-Inflammatory",Yashtimadhu (Licorice Root),"Yashtimadhu Churna, also known as licorice powder, is used for its soothing properties on the digestive and respiratory systems."
Yashtimadhu Churna,sore throat,May increase blood pressure,"Demulcent, Anti-Inflammatory",Yashtimadhu (Licorice Root),"Yashtimadhu Churna, also known as licorice powder, is used for its soothing properties on the digestive and respiratory systems."
Kutki Churna,Liver disorders,Use with caution during pregnancy,"Digestive, Liver Support",Kutki (Picrorhiza kurroa),Kutki Churna is primarily used for liver detoxification and is considered beneficial for liver health.
Kutki Churna,jaundice,Use with caution during pregnancy,"Digestive, Liver Support",Kutki (Picrorhiza kurroa),Kutki Churna is primarily used for liver detoxification and is considered beneficial for liver health.
Neem Churna,Skin conditions,Avoid during pregnancy,"Antimicrobial, Skin Health",Neem (Azadirachta indica),Neem Churna is made from neem leaves and is used for its antimicrobial and skin-healthy properties.
Neem Churna,detoxification,Avoid during pregnancy,"Antimicrobial, Skin Health",Neem (Azadirachta indica),Neem Churna is made from neem leaves and is used for its antimicrobial and skin-healthy properties.
Punarnava Churna,Kidney disorders,Monitor blood pressure,"Diuretic, Kidney Support",Punarnava (Boerhavia diffusa),Punarnava Churna is used as a diuretic and is believed to support kidney and urinary tract health.
